town,date,max_temp_c,min_temp_c,avg_temp_c,humidity,precipitation_mm,wind_kph,condition
Nairobi,2023-10-12,29.3,16.6,22.3,53,0.0,23.8,Partly cloudy
Nairobi,2023-10-13,29.1,16.3,22.3,49,0.0,22.7,Sunny
Nairobi,2023-10-14,30.9,16.5,23.4,51,0.18,25.6,Patchy rain possible
Nairobi,2023-10-15,28.8,16.6,22.2,58,0.1,27.4,Patchy rain possible
Nairobi,2023-10-16,28.3,16.6,21.8,62,0.52,26.3,Patchy rain possible
Nairobi,2023-10-17,28.7,16.2,22.1,57,0.02,24.8,Partly cloudy
Nairobi,2023-10-18,28.9,16.3,21.6,62,0.36,28.4,Patchy rain possible
Nairobi,2023-10-19,24.5,16.5,20.2,69,4.21,24.5,Light rain shower
Nairobi,2023-10-20,27.0,16.1,21.0,63,0.43,24.8,Patchy rain possible
Nairobi,2023-10-21,27.6,16.4,21.3,61,0.97,24.1,Patchy rain possible
Nairobi,2023-10-22,28.7,15.7,21.5,53,0.05,23.8,Partly cloudy
Nairobi,2023-10-23,29.2,14.9,21.6,45,0.0,23.4,Sunny
Nairobi,2023-10-24,29.1,17.7,22.3,54,0.07,25.2,Sunny
Nairobi,2023-10-25,26.0,17.6,21.2,65,2.24,21.6,Patchy rain possible
Nairobi,2023-10-26,28.0,16.2,21.1,62,0.31,28.4,Patchy rain possible
Nairobi,2023-10-27,28.0,16.0,21.5,58,0.84,25.9,Light rain shower
Nairobi,2023-10-28,25.2,15.8,20.5,62,0.27,20.5,Patchy rain possible
Nairobi,2023-10-29,27.9,15.6,21.2,60,0.09,25.2,Patchy rain possible
Nairobi,2023-10-30,27.5,15.9,20.4,66,2.82,24.8,Patchy rain possible
Nairobi,2023-10-31,27.3,16.0,20.4,67,2.45,26.3,Light rain shower
Nairobi,2023-11-01,24.6,15.5,19.9,68,1.53,19.8,Patchy rain possible
Nairobi,2023-11-02,23.6,16.7,19.5,74,7.36,18.7,Light rain shower
Nairobi,2023-11-03,22.7,16.6,18.6,82,21.08,18.4,Patchy light drizzle
Nairobi,2023-11-04,17.2,16.0,16.7,91,12.57,7.2,Light rain shower
Nairobi,2023-11-05,23.7,14.7,18.6,77,0.96,16.9,Patchy rain possible
Nairobi,2023-11-06,23.3,16.3,18.6,83,9.48,15.5,Light rain shower
Nairobi,2023-11-07,20.1,16.3,17.6,88,6.18,15.1,Light rain shower
Nairobi,2023-11-08,23.6,15.6,18.8,81,4.06,19.1,Light rain shower
Nairobi,2023-11-09,22.2,16.6,18.2,86,13.28,13.3,Light rain shower
Nairobi,2023-11-10,19.9,16.3,17.2,90,23.75,12.6,Moderate rain
Nairobi,2023-11-11,18.6,15.4,16.6,91,6.48,12.6,Light rain shower
Nairobi,2023-11-12,22.8,15.0,18.1,85,3.91,19.8,Light rain shower
Nairobi,2023-11-13,23.7,16.1,18.7,83,3.83,22.0,Patchy rain possible
Nairobi,2023-11-14,24.2,15.9,19.0,81,2.78,20.2,Patchy rain possible
Nairobi,2023-11-15,23.7,15.9,18.9,80,2.53,18.7,Light rain shower
Nairobi,2023-11-16,23.0,16.2,18.8,81,2.81,19.1,Light rain shower
Nairobi,2023-11-17,23.7,16.2,19.2,78,4.07,20.5,Patchy light drizzle
Nairobi,2023-11-18,24.1,16.4,19.2,73,0.85,21.6,Patchy rain possible
Nairobi,2023-11-19,23.5,15.7,18.8,81,4.82,19.1,Light rain shower
Nairobi,2023-11-20,23.3,16.0,18.8,79,4.12,20.5,Patchy rain possible
Nairobi,2023-11-21,24.1,15.3,18.6,82,3.7,20.9,Light rain shower
Nairobi,2023-11-22,20.5,14.9,16.8,91,24.79,18.0,Heavy rain
Nairobi,2023-11-23,22.3,15.5,18.0,86,3.87,21.6,Light rain shower
Nairobi,2023-11-24,19.8,15.3,16.7,91,7.52,12.2,Light rain shower
Nairobi,2023-11-25,23.9,14.7,18.6,81,2.07,19.4,Patchy rain possible
Nairobi,2023-11-26,22.8,16.1,18.0,87,6.63,18.4,Light rain shower
Nairobi,2023-11-27,24.2,15.6,18.6,82,1.48,18.0,Fog
Nairobi,2023-11-28,22.5,15.9,18.1,85,5.13,16.9,Light rain shower
Nairobi,2023-11-29,24.7,15.7,19.2,75,0.16,23.0,Patchy rain possible
Nairobi,2023-11-30,24.6,14.6,19.0,72,0.07,23.0,Patchy rain possible
Nairobi,2023-12-01,24.9,14.4,19.0,72,0.06,23.0,Partly cloudy
Nairobi,2023-12-02,24.9,15.1,18.9,76,3.75,20.9,Patchy light rain
Nairobi,2023-12-03,25.1,15.0,19.0,79,1.28,24.8,Patchy rain possible
Nairobi,2023-12-04,24.4,14.8,18.8,76,0.12,24.8,Patchy rain possible
Nairobi,2023-12-05,25.0,15.3,19.4,73,0.62,24.5,Patchy rain possible
Nairobi,2023-12-06,24.2,16.2,19.2,79,1.59,20.2,Patchy rain possible
Nairobi,2023-12-07,26.0,15.3,19.4,76,1.06,20.9,Patchy rain possible
Nairobi,2023-12-08,25.7,15.1,19.4,73,0.54,22.3,Patchy rain possible
Nairobi,2023-12-09,24.6,15.2,19.6,73,0.5,18.4,Patchy rain possible
Nairobi,2023-12-10,24.3,15.6,18.5,81,2.1,23.0,Patchy light drizzle
Nairobi,2023-12-11,24.5,14.8,18.5,80,1.12,23.4,Patchy light drizzle
Nairobi,2023-12-12,25.9,14.6,19.2,77,4.35,21.2,Patchy rain possible
Nairobi,2023-12-13,26.7,15.6,20.0,77,2.36,19.8,Patchy rain possible
Nairobi,2023-12-14,24.8,16.1,19.3,82,3.95,18.4,Light rain shower
Nairobi,2023-12-15,24.6,15.1,19.0,82,1.42,21.2,Patchy light drizzle
Nairobi,2023-12-16,23.9,15.4,18.4,83,0.69,24.5,Patchy rain possible
Nairobi,2023-12-17,23.4,15.2,18.4,82,0.44,24.8,Patchy rain possible
Nairobi,2023-12-18,24.9,14.3,18.7,75,0.08,22.0,Patchy rain possible
Nairobi,2023-12-19,25.8,15.1,19.3,76,0.06,20.9,Patchy rain possible
Nairobi,2023-12-20,23.3,15.9,18.8,78,0.04,20.9,Patchy rain possible
Nairobi,2023-12-21,25.0,15.0,19.0,80,1.02,24.1,Patchy light drizzle
Nairobi,2023-12-22,26.2,15.6,19.8,75,0.2,25.9,Patchy rain possible
Nairobi,2023-12-23,25.9,14.7,19.5,76,0.49,25.2,Patchy rain possible
Nairobi,2023-12-24,26.8,15.8,20.0,76,3.05,24.8,Patchy rain possible
Nairobi,2023-12-25,26.3,16.0,19.8,79,9.42,20.9,Patchy light drizzle
Nairobi,2023-12-26,25.9,15.5,19.3,81,0.9,27.7,Patchy rain possible
Nairobi,2023-12-27,24.7,15.2,19.1,77,0.48,28.8,Patchy light drizzle
Nairobi,2023-12-28,26.6,15.0,19.9,70,2.82,22.0,Patchy rain possible
Nairobi,2023-12-29,26.4,16.1,19.9,77,4.77,21.2,Patchy light drizzle
Nairobi,2023-12-30,24.0,16.8,19.3,82,7.44,20.2,Patchy rain possible
Nairobi,2023-12-31,24.5,16.7,19.8,78,1.41,20.9,Patchy rain possible
Nairobi,2024-01-01,26.9,16.2,19.9,76,4.41,20.5,Patchy rain possible
Mombasa,2023-10-12,29.9,23.0,25.9,72,0.1,20.2,Patchy rain possible
Mombasa,2023-10-13,31.0,22.9,26.3,79,0.11,19.4,Patchy rain possible
Mombasa,2023-10-14,30.5,23.5,26.4,80,0.19,19.1,Patchy rain possible
Mombasa,2023-10-15,31.1,23.3,26.6,79,0.03,24.8,Patchy rain possible
Mombasa,2023-10-16,30.7,24.6,27.2,77,0.98,17.3,Patchy rain possible
Mombasa,2023-10-17,31.0,23.7,26.9,78,0.53,21.6,Patchy rain possible
Mombasa,2023-10-18,30.2,24.9,26.9,80,1.48,19.1,Patchy rain possible
Mombasa,2023-10-19,30.3,24.3,26.9,77,1.3,20.9,Patchy rain possible
Mombasa,2023-10-20,30.3,23.9,26.8,77,3.74,19.4,Patchy rain possible
Mombasa,2023-10-21,30.1,23.9,26.4,76,3.19,20.9,Light rain shower
Mombasa,2023-10-22,30.1,23.9,26.4,73,0.29,20.2,Patchy rain possible
Mombasa,2023-10-23,30.7,23.9,26.7,79,0.78,19.8,Patchy rain possible
Mombasa,2023-10-24,27.8,24.1,25.9,84,7.84,15.5,Light rain shower
Mombasa,2023-10-25,30.7,24.4,27.1,78,2.98,18.7,Patchy rain possible
Mombasa,2023-10-26,31.3,24.1,27.2,78,0.32,19.8,Light rain shower
Mombasa,2023-10-27,31.2,23.9,27.1,76,0.1,20.5,Patchy rain possible
Mombasa,2023-10-28,29.7,24.2,26.8,78,3.4,16.2,Patchy rain possible
Mombasa,2023-10-29,30.7,24.1,27.0,77,0.99,21.2,Patchy rain possible
Mombasa,2023-10-30,28.7,24.0,26.1,81,15.09,13.7,Light rain shower
Mombasa,2023-10-31,28.9,23.9,25.9,80,6.86,18.4,Light rain shower
Mombasa,2023-11-01,30.1,23.8,26.7,78,1.96,20.5,Patchy rain possible
Mombasa,2023-11-02,29.4,24.1,26.5,80,13.01,19.1,Light rain shower
Mombasa,2023-11-03,25.0,23.4,23.9,94,121.52,24.1,Moderate or heavy rain shower
Mombasa,2023-11-04,24.1,22.8,23.4,94,53.66,17.6,Moderate or heavy rain shower
Mombasa,2023-11-05,28.3,23.7,25.7,85,11.93,20.2,Light rain shower
Mombasa,2023-11-06,28.8,24.2,25.6,86,6.41,19.1,Light rain shower
Mombasa,2023-11-07,28.6,24.4,26.1,82,7.91,12.2,Light rain shower
Mombasa,2023-11-08,29.1,23.6,26.2,81,2.88,16.9,Patchy light drizzle
Mombasa,2023-11-09,30.0,23.6,26.5,80,0.11,16.9,Patchy rain possible
Mombasa,2023-11-10,28.3,24.0,26.1,84,8.6,14.0,Light rain shower
Mombasa,2023-11-11,29.6,24.3,26.6,82,2.46,18.7,Patchy rain possible
Mombasa,2023-11-12,30.3,23.9,26.8,79,3.74,15.5,Light rain shower
Mombasa,2023-11-13,29.6,23.7,26.4,81,1.62,14.0,Patchy light drizzle
Mombasa,2023-11-14,30.0,24.1,26.7,81,2.01,16.9,Patchy rain possible
Mombasa,2023-11-15,29.2,24.6,26.6,82,12.08,18.7,Patchy light drizzle
Mombasa,2023-11-16,28.1,24.0,25.9,84,19.14,21.6,Light rain shower
Mombasa,2023-11-17,28.3,23.9,25.3,88,14.96,14.8,Light rain shower
Mombasa,2023-11-18,29.1,23.8,26.3,82,2.4,14.8,Light rain shower
Mombasa,2023-11-19,29.5,24.0,26.5,81,0.57,15.8,Patchy rain possible
Mombasa,2023-11-20,29.4,24.0,26.3,81,2.74,10.4,Patchy light drizzle
Mombasa,2023-11-21,29.5,24.2,26.7,81,1.52,14.0,Patchy rain possible
Mombasa,2023-11-22,29.7,24.4,26.8,80,7.83,11.5,Light rain shower
Mombasa,2023-11-23,29.3,24.1,26.4,84,4.1,14.0,Patchy light drizzle
Mombasa,2023-11-24,29.0,23.8,26.1,83,8.15,19.8,Light rain shower
Mombasa,2023-11-25,27.7,24.1,25.4,87,4.09,22.7,Light rain shower
Mombasa,2023-11-26,28.2,23.7,26.1,85,4.79,17.6,Light rain shower
Mombasa,2023-11-27,29.8,23.9,26.4,82,5.98,10.8,Patchy light drizzle
Mombasa,2023-11-28,27.5,24.4,25.7,83,10.0,11.9,Light rain shower
Mombasa,2023-11-29,30.4,24.5,27.1,80,5.47,16.2,Patchy rain possible
Mombasa,2023-11-30,30.8,24.0,27.1,81,1.23,22.0,Patchy rain possible
Mombasa,2023-12-01,31.0,24.2,27.0,81,2.17,18.7,Patchy rain possible
Mombasa,2023-12-02,29.9,24.4,26.9,81,5.35,15.1,Patchy rain possible
Mombasa,2023-12-03,30.1,24.3,26.7,82,7.25,17.6,Patchy rain possible
Mombasa,2023-12-04,30.1,24.6,27.0,80,5.28,19.8,Patchy rain possible
Mombasa,2023-12-05,30.1,24.3,26.9,79,2.26,18.0,Patchy rain possible
Mombasa,2023-12-06,30.0,24.2,27.0,80,1.1,17.3,Patchy rain possible
Mombasa,2023-12-07,29.8,24.7,26.9,80,1.27,15.8,Patchy rain possible
Mombasa,2023-12-08,29.6,24.6,27.0,81,8.71,13.0,Patchy rain possible
Mombasa,2023-12-09,29.6,24.6,26.9,81,4.0,14.8,Patchy light drizzle
Mombasa,2023-12-10,29.1,24.2,26.5,81,5.58,15.1,Patchy rain possible
Mombasa,2023-12-11,29.9,24.3,26.9,79,3.76,14.0,Patchy rain possible
Mombasa,2023-12-12,30.0,23.7,26.8,79,2.1,14.8,Patchy rain possible
Mombasa,2023-12-13,29.9,24.7,27.0,79,0.15,15.5,Patchy rain possible
Mombasa,2023-12-14,29.6,24.4,26.9,80,0.47,13.3,Patchy rain possible
Mombasa,2023-12-15,29.8,25.1,27.2,81,4.07,14.4,Patchy light rain with thunder
Mombasa,2023-12-16,30.1,23.9,26.8,80,6.49,15.1,Moderate rain at times
Mombasa,2023-12-17,30.1,24.4,26.9,79,5.52,16.9,Patchy rain possible
Mombasa,2023-12-18,30.3,24.3,27.1,77,2.18,16.6,Patchy rain possible
Mombasa,2023-12-19,31.1,24.4,27.4,78,2.04,19.1,Patchy light drizzle
Mombasa,2023-12-20,31.3,24.6,27.5,79,1.61,22.7,Patchy light drizzle
Mombasa,2023-12-21,31.1,24.9,27.4,82,1.28,22.0,Patchy rain possible
Mombasa,2023-12-22,30.6,24.9,27.5,81,6.94,19.8,Patchy rain possible
Mombasa,2023-12-23,30.4,24.9,27.0,82,10.41,16.9,Patchy light rain
Mombasa,2023-12-24,30.3,24.9,27.3,82,5.49,17.6,Patchy light drizzle
Mombasa,2023-12-25,29.6,25.1,27.3,83,2.59,15.8,Light rain shower
Mombasa,2023-12-26,30.3,24.7,27.3,82,6.27,21.6,Patchy rain possible
Mombasa,2023-12-27,29.8,24.7,27.0,83,6.16,20.9,Light rain shower
Mombasa,2023-12-28,30.5,24.4,27.5,80,2.17,18.0,Patchy rain possible
Mombasa,2023-12-29,31.2,24.6,27.3,82,3.3,19.4,Patchy rain possible
Mombasa,2023-12-30,31.5,25.7,27.7,81,5.05,16.6,Patchy light rain with thunder
Mombasa,2023-12-31,30.9,25.6,27.7,81,7.88,19.4,Patchy rain possible
Mombasa,2024-01-01,30.9,25.2,27.7,80,1.03,19.8,Patchy light rain with thunder
Kisumu,2023-10-12,26.9,18.9,21.5,80,20.4,17.3,Moderate rain at times
Kisumu,2023-10-13,27.7,19.0,22.8,70,3.78,10.8,Patchy rain possible
Kisumu,2023-10-14,28.6,18.9,21.8,75,12.03,15.5,Moderate rain at times
Kisumu,2023-10-15,28.2,19.4,22.4,72,1.23,26.6,Patchy rain possible
Kisumu,2023-10-16,28.0,19.0,22.2,70,1.86,23.8,Patchy rain possible
Kisumu,2023-10-17,25.5,18.7,21.7,79,2.67,16.2,Patchy rain possible
Kisumu,2023-10-18,27.4,19.1,22.2,74,5.52,25.6,Patchy light rain
Kisumu,2023-10-19,26.6,18.7,22.3,72,0.66,13.7,Patchy rain possible
Kisumu,2023-10-20,27.6,18.3,22.2,72,3.16,10.8,Patchy rain possible
Kisumu,2023-10-21,26.8,18.6,22.1,73,6.04,13.7,Patchy rain possible
Kisumu,2023-10-22,27.6,19.2,21.7,77,9.33,27.0,Light rain
Kisumu,2023-10-23,28.0,18.8,22.8,72,2.9,12.6,Patchy light rain with thunder
Kisumu,2023-10-24,28.6,18.5,23.4,61,0.03,11.5,Sunny
Kisumu,2023-10-25,28.4,19.4,22.6,69,3.29,21.6,Patchy rain possible
Kisumu,2023-10-26,27.7,19.0,23.1,66,1.27,10.8,Patchy light drizzle
Kisumu,2023-10-27,27.9,18.6,22.7,69,2.64,12.2,Patchy rain possible
Kisumu,2023-10-28,26.9,18.3,22.1,72,6.04,10.4,Patchy rain possible
Kisumu,2023-10-29,27.0,18.2,21.8,73,4.1,11.5,Patchy rain possible
Kisumu,2023-10-30,28.0,18.4,22.3,72,1.63,12.2,Patchy rain possible
Kisumu,2023-10-31,27.8,18.3,21.5,76,27.46,18.4,Heavy rain at times
Kisumu,2023-11-01,27.8,18.9,22.3,75,5.16,11.5,Light rain shower
Kisumu,2023-11-02,27.3,18.9,21.9,78,43.69,18.0,Heavy rain
Kisumu,2023-11-03,24.1,18.9,20.6,84,13.0,15.8,Light rain shower
Kisumu,2023-11-04,21.3,19.2,19.9,90,15.02,5.4,Light rain shower
Kisumu,2023-11-05,24.6,18.7,21.0,83,43.76,9.4,Moderate or heavy rain shower
Kisumu,2023-11-06,24.3,19.2,21.1,85,47.85,10.4,Torrential rain shower
Kisumu,2023-11-07,23.9,18.0,20.9,84,19.66,17.6,Light rain shower
Kisumu,2023-11-08,25.5,18.8,21.7,80,14.4,8.6,Moderate or heavy rain shower
Kisumu,2023-11-09,26.1,19.2,21.9,76,9.74,14.0,Moderate or heavy rain shower
Kisumu,2023-11-10,25.5,19.0,21.5,80,17.01,12.2,Moderate or heavy rain shower
Kisumu,2023-11-11,25.5,19.2,21.8,76,8.39,7.2,Light rain shower
Kisumu,2023-11-12,26.6,19.3,22.1,77,12.76,12.2,Light rain shower
Kisumu,2023-11-13,25.8,19.9,21.9,83,19.19,12.6,Light rain shower
Kisumu,2023-11-14,26.0,18.9,22.0,76,8.1,11.5,Patchy light rain
Kisumu,2023-11-15,26.2,18.7,21.8,79,8.11,14.0,Light rain shower
Kisumu,2023-11-16,27.0,19.5,22.8,75,5.71,11.2,Moderate rain at times
Kisumu,2023-11-17,26.0,19.0,22.0,78,6.91,11.5,Patchy light drizzle
Kisumu,2023-11-18,26.7,18.9,22.4,72,2.53,13.3,Patchy rain possible
